,,
N п/п,Профессия,Заработок от
1,АКУШЕРКА,10000
2,ВЕТЕРИНАРНЫЙ ВРАЧ,17000
3,ВОДИТЕЛЬ АВТОМОБИЛЯ,16000
4,ВРАЧ-ПЕДИАТР УЧАСТКОВЫЙ,30000
5,ВРАЧ-СПЕЦИАЛИСТ,30000
6,ВРАЧ-ТЕРАПЕВТ УЧАСТКОВЫЙ,30000
7,ГАЗОРЕЗЧИК,15000
8,ГРУЗЧИК,8000
9,ДВОРНИК,7090
10,ИНЖЕНЕР-ИССЛЕДОВАТЕЛЬ,12000
11,ИНЖЕНЕР-ТЕХНОЛОГ,17000
12,КУХОННЫЙ РАБОЧИЙ,7090
13,МАШИНИСТ ЭКСКАВАТОРА,20000
14,МЕДИЦИНСКАЯ СЕСТРА,12000
15,НАЛАДЧИК КОНТРОЛЬНО-ИЗМЕРИТЕЛЬНЫХ ПРИБОРОВ И АВТОМАТИКИ,18000
16,ОБРУБЩИК,19200
17,ОПЕРАТОР МАШИННОГО ДОЕНИЯ,15000
18,ПЕКАРЬ,9000
19,ПОВАР,9700
20,ПОДСОБНЫЙ РАБОЧИЙ,15000
21,ПРОВИЗОР,15000
22,РАБОЧИЙ ПО КОМПЛЕКСНОМУ ОБСЛУЖИВАНИЮ И РЕМОНТУ ЗДАНИЙ,9000
23,СЛЕСАРЬ АВАРИЙНО-ВОССТАНОВИТЕЛЬНЫХ РАБОТ,16925
24,СОРТИРОВЩИК БУМАЖНОГО ПРОИЗВОДСТВА,12000
25,СОТРУДНИК МИНИСТЕРСТВА ВНУТРЕННИХ ДЕЛ,22000
26,СТРОГАЛЬЩИК,29000
27,ТОКАРЬ,12000
28,ТОКАРЬ-КАРУСЕЛЬЩИК,29800
29,ТРАКТОРИСТ-МАШИНИСТ СЕЛЬСКОХОЗЯЙСТВЕННОГО ПРОИЗВОДСТВА,10000
30,ТРЕНЕР,7422
31,УБОРЩИК ПРОИЗВОДСТВЕННЫХ И СЛУЖЕБНЫХ ПОМЕЩЕНИЙ,7090
32,УЧИТЕЛЬ,8800
33,ФРЕЗЕРОВЩИК,29000
34,ШЛИФОВЩИК-РЕЗЧИК ОГНЕУПОРНЫХ ИЗДЕЛИЙ,15000
35,ЭЛЕКТРОГАЗОСВАРЩИК,10000
36,"ЭЛЕКТРОМОНТЕР ПО РЕМОНТУ АППАРАТУРЫ, РЕЛЕЙНОЙ ЗАЩИТЫ И АВТОМ",12000
37,ЭЛЕКТРОМОНТЕР ПО РЕМОНТУ И ОБСЛУЖИВАНИЮ ЭЛЕКТРООБОРУДОВАНИЯ,20000
